#leave the following line; indicates category name
biosyn

#updated on 01-09-2019
PF13183 4Fe-4S dicluster domain
PF18130 ATP-grasp N-terminal domain
PF13535 ATP-grasp domain
PF14518 Iron-containing redox enzyme
PF00708 Acylphosphatase
PF04954 Siderophore-interacting protein
PF08021 Siderophore-interacting FAD-binding domain
PF12697 Alpha/beta hydrolase family
PF13561 Enoyl-(Acyl carrier protein) reductase
PF12710 haloacid dehalogenase-like hydrolase
PF13581 Histidine kinase-like ATPase domain
PF16896 Phosphogluconate dehydrogenase (decarboxylating) C-term

#Removed:
# PF00753	Metallo-beta-lactamase superfamily
# PF00652	Ricin-type beta-trefoil lectin domain
# PF00403	Heavy-metal-associated domain
# PF07993	Male sterility protein
# PF00013	KH domain
# PF00015	Methyl-accepting chemotaxis protein (MCP) signalling domain
# PF00027	Cyclic nucleotide-binding domain

# updates on 23_01_2019
PF14028	Lantibiotic biosynthesis dehydratase C-term
PF13471	Transglutaminase-like superfamily
PF13649	Methyltransferase domain
PF13489	Methyltransferase domain
TIGR03795	ribosomal natural product, two-chain TOMM family
TIGR03842	F420-dependent oxidoreductase, CPS_4043 family
TIGR04403	sporulation killing factor system radical SAM maturase
TIGR04496	radical SAM/SPASM domain peptide maturase, XyeB family
TIGR04517	radical SAM family RiPP maturation amino acid epimerase
TIGR03965	mycofactocin system glycosyltransferase
TIGR03962	mycofactocin radical SAM maturase
TIGR03897	type 2 lantibiotic biosynthesis protein LanM
TIGR03891	thiopeptide-type bacteriocin biosynthesis domain
TIGR03605	SagB-type dehydrogenase domain
TIGR03604	thiazole/oxazole-forming peptide maturase, SagD family component
TIGR03549	YcaO domain protein
TIGR02108	coenzyme PQQ biosynthesis protein B
TIGR02109	coenzyme PQQ biosynthesis enzyme PqqE
TIGR02110	coenzyme PQQ biosynthesis protein PqqF
TIGR02111	coenzyme PQQ biosynthesis protein C

# PF00032	Cytochrome b(C-terminal)/b6/petD
# PF00115	Cytochrome C and Quinol oxidase polypeptide I
# PF00116	Cytochrome C oxidase subunit II, periplasmic domain


# Original list
PF00009	Elongation factor Tu GTP binding domain
PF00025	ADP-ribosylation factor family
PF00026	Eukaryotic aspartyl protease
PF00037	4Fe-4S binding domain
PF00043	Glutathione S-transferase, C-terminal domain
PF00044	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF00056	lactate/malate dehydrogenase, NAD binding domain
PF00061	Lipocalin / cytosolic fatty-acid binding protein family
PF00064	Neuraminidase
PF00067	Cytochrome P450
PF00069	Protein kinase domain
PF00070	Pyridine nucleotide-disulphide oxidoreductase
PF00071	Ras family
PF00081	Iron/manganese superoxide dismutases, alpha-hairpin domain
PF00082	Subtilase family
PF00085	Thioredoxin
PF00089	Trypsin
PF00102	Protein-tyrosine phosphatase
PF00106	short chain dehydrogenase
PF00107	Zinc-binding dehydrogenase
PF00108	Thiolase, N-terminal domain
PF00109	Beta-ketoacyl synthase, N-terminal domain
PF00111	2Fe-2S iron-sulfur cluster binding domain
PF00112	Papain family cysteine protease
PF00113	Enolase, C-terminal TIM barrel domain

PF00117	Glutamine amidotransferase class-I
PF00120	Glutamine synthetase, catalytic domain
PF00121	Triosephosphate isomerase
PF00128	Alpha amylase, catalytic domain
PF00132	Bacterial transferase hexapeptide (six repeats)
PF00135	Carboxylesterase family
PF00141	Peroxidase
PF00142	4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family
PF00148	Nitrogenase component 1 type Oxidoreductase
PF00149	Calcineurin-like phosphoesterase
PF00150	Cellulase (glycosyl hydrolase family 5)
# PF00153	Mitochondrial carrier protein
PF00155	Aminotransferase class I and II
PF00156	Phosphoribosyl transferase domain
PF00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF00162	Phosphoglycerate kinase
# PF00166	Chaperonin 10 Kd subunit
PF00171	Aldehyde dehydrogenase family
# PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain
# PF00173	Cytochrome b5-like Heme/Steroid binding domain
PF00174	Oxidoreductase molybdopterin binding domain
PF00175	Oxidoreductase NAD-binding domain
PF00180	Isocitrate/isopropylmalate dehydrogenase
PF00182	Chitinase class I
PF00185	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain
PF00186	Dihydrofolate reductase
# PF00190	Cupin
PF00195	Chalcone and stilbene synthases, N-terminal domain
PF00198	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF00199	Catalase
PF00201	UDP-glucoronosyl and UDP-glucosyl transferase
PF00202	Aminotransferase class-III
PF00205	Thiamine pyrophosphate enzyme, central domain
PF00206	Lyase
# PF00207	Alpha-2-macroglobulin family
PF00208	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
# PF00210	Ferritin-like domain
PF00211	Adenylate and Guanylate cyclase catalytic domain
PF00215	Orotidine 5'-phosphate decarboxylase / HUMPS family
PF00217	ATP:guanido phosphotransferase, C-terminal catalytic domain
PF00218	Indole-3-glycerol phosphate synthase
PF00221	Aromatic amino acid lyase
PF00224	Pyruvate kinase, barrel domain
# PF00227	Proteasome subunit
PF00232	Glycosyl hydrolase family 1
# PF00233	3'5'-cyclic nucleotide phosphodiesterase
PF00239	Resolvase, N terminal domain
PF00245	Alkaline phosphatase
PF00246	Zinc carboxypeptidase
PF00248	Aldo/keto reductase family
PF00254	FKBP-type peptidyl-prolyl cis-trans isomerase
PF00255	Glutathione peroxidase
PF00258	Flavodoxin
PF00264	Common central domain of tyrosinase
PF00265	Thymidine kinase
PF00266	Aminotransferase class-V
# PF00267	Gram-negative porin
PF00268	Ribonucleotide reductase, small chain
PF00274	Fructose-bisphosphate aldolase class-I
PF00275	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
PF00278	Pyridoxal-dependent decarboxylase, C-terminal sheet domain
PF00282	Pyridoxal-dependent decarboxylase conserved domain
PF00285	Citrate synthase, C-terminal domain
PF00289	Biotin carboxylase, N-terminal domain
PF00290	Tryptophan synthase alpha chain
PF00291	Pyridoxal-phosphate dependent enzyme
# PF00292	'Paired box' domain
PF00293	NUDIX domain
PF00294	pfkB family carbohydrate kinase
PF00295	Glycosyl hydrolases family 28
PF00296	Luciferase-like monooxygenase
# PF00298	Ribosomal protein L11, RNA binding domain
PF00300	Histidine phosphatase superfamily (branch 1)
PF00302	Chloramphenicol acetyltransferase
PF00303	Thymidylate synthase
PF00305	Lipoxygenase
# PF00306	ATP synthase alpha/beta chain, C terminal domain
PF00310	Glutamine amidotransferases class-II
PF00311	Phosphoenolpyruvate carboxylase
PF00316	Fructose-1-6-bisphosphatase, N-terminal domain
PF00317	Ribonucleotide reductase, all-alpha domain
PF00328	Histidine phosphatase superfamily (branch 2)
# PF00329	Respiratory-chain NADH dehydrogenase, 30 Kd subunit
PF00330	Aconitase family (aconitate hydratase)
PF00331	Glycosyl hydrolase family 10
PF00332	Glycosyl hydrolases family 17
# PF00334	Nucleoside diphosphate kinase
PF00337	Galactoside-binding lectin
PF00342	Phosphoglucose isomerase
PF00343	Carbohydrate phosphorylase
# PF00346	Respiratory-chain NADH dehydrogenase, 49 Kd subunit
PF00348	Polyprenyl synthetase
PF00349	Hexokinase
PF00351	Biopterin-dependent aromatic amino acid hydroxylase
# PF00353	Haemolysin-type calcium-binding repeat (2 copies)
PF00355	Rieske [2Fe-2S] domain
PF00359	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2
# PF00361	Proton-conducting membrane transporter
PF00364	Biotin-requiring enzyme
PF00365	Phosphofructokinase
PF00367	phosphotransferase system, EIIB
PF00368	Hydroxymethylglutaryl-coenzyme A reductase
PF00370	FGGY family of carbohydrate kinases, N-terminal domain
PF00378	Enoyl-CoA hydratase/isomerase
PF00383	Cytidine and deoxycytidylate deaminase zinc-binding region
PF00384	Molybdopterin oxidoreductase
# PF00386	C1q domain
PF00387	Phosphatidylinositol-specific phospholipase C, Y domain
PF00388	Phosphatidylinositol-specific phospholipase C, X domain
PF00389	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
PF00390	Malic enzyme, N-terminal domain
PF00391	PEP-utilising enzyme, mobile domain
PF00393	6-phosphogluconate dehydrogenase, C-terminal domain
PF00394	Multicopper oxidase
# PF00395	S-layer homology domain
# PF00400	WD domain, G-beta repeat

# PF00404	Dockerin type I repeat
PF00408	Phosphoglucomutase/phosphomannomutase, C-terminal domain
PF00413	Matrixin
# PF00420	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L
PF00425	chorismate binding enzyme
