#leave the following line; indicates category name
kripp

# Involved in the biosynthesis of some thiopeptides; always?
PF07812	TfuA-like protein
PF00733	Asparagine synthase
PF00881	Nitroreductase
PF01944 Stage II sporulation protein M
PF02624	YcaO cyclodehydratase
PF04055	Radical SAM
PF13186	Iron-sulfur cluster-binding domain	
PF04738	Lantibiotic dehydratase N terminus
PF05147	Lanthionine synthetase C-like protein
PF05402	Coenzyme PQQ synthesis protein D (PqqD)
PF13471	Transglutaminase-like superfamily
PF14028	Lantibiotic biosynthesis dehydratase C-term
TIGR02111   coenzyme PQQ biosynthesis protein C EC:1.3.3.11
PF13360 PQQ-like domain
TIGR03960   SAM radical methyltransferase
TIGR04085   radical SAM additional 4Fe4S-binding SPASM domain
TIGR00702   YcaO-type kinase domain
TIGR02111   coenzyme PQQ biosynthesis protein C EC:1.3.3.11
TIGR02109   coenzyme PQQ biosynthesis enzyme PqqE
PF03070 TENA/THI-4/PQQC family
TIGR03859   coenzyme PQQ biosynthesis protein PqqD
TIGR04184   ATP-grasp ribosomal peptide maturase, MvdD family	
TIGR04185   ATP-grasp ribosomal peptide maturase, MvdC family	
TIGR04187   ATP-grasp ribosomal peptide maturase, SAV_5884 family
TIGR04188   methyltransferase, ATP-grasp peptide maturase system	
TIGR03795   ribosomal natural product, two-chain TOMM family
TIGR04403   sporulation killing factor system radical SAM maturase
TIGR04496   radical SAM/SPASM domain peptide maturase, XyeB family
TIGR04517   radical SAM family RiPP maturation amino acid epimerase	
TIGR03965   mycofactocin system glycosyltransferase
TIGR03962   mycofactocin radical SAM maturase
TIGR03903   TOMM system kinase/cyclase fusion protein
TIGR03882   bacteriocin biosynthesis cyclodehydratase domain
TIGR03897   type 2 lantibiotic biosynthesis protein LanM
TIGR03891   thiopeptide-type bacteriocin biosynthesis domain
TIGR03605   SagB-type dehydrogenase domain
TIGR03604   thiazole/oxazole-forming peptide maturase, SagD family component
TIGR03603   thiazole/oxazole-forming peptide maturase, SagC family component
TIGR03549   YcaO domain protein
TIGR02108   coenzyme PQQ biosynthesis protein B	
TIGR02109   coenzyme PQQ biosynthesis enzyme PqqE	
TIGR02110   coenzyme PQQ biosynthesis protein PqqF
TIGR02111   coenzyme PQQ biosynthesis protein C


#Doubting about these
#TIGR02351   thiazole biosynthesis protein ThiH
