#leave the following line; indicates category name
peptidase

PF00413 Matrixin

PF00026	Eukaryotic aspartyl protease
PF00045	Hemopexin
PF00066	LNR domain
PF00077	Retroviral aspartyl protease
PF00082	Subtilase family
PF00112	Papain family cysteine protease
PF00246	Zinc carboxypeptidase
PF00326	Prolyl oligopeptidase family
PF00413	Matrixin
PF00450	Serine carboxypeptidase
PF00548	3C cysteine protease (picornain 3C)
PF00557	Metallopeptidase family M24
PF00574	Clp protease
PF00675	Insulinase (Peptidase family M16)
PF00716	Assemblin (Peptidase family S21)
PF00717	Peptidase S24-like
PF00768	D-alanyl-D-alanine carboxypeptidase
PF00770	Adenovirus endoprotease
PF00814	Glycoprotease family
PF00863	Peptidase family C4
PF00883	Cytosol aminopeptidase family, catalytic domain
PF00930	Dipeptidyl peptidase IV (DPP IV) N-terminal region
PF00944	Alphavirus core protein
PF00947	Picornavirus core protein 2A
PF00949	Peptidase S7, Flavivirus NS3 serine protease
PF01019	Gamma-glutamyltranspeptidase
PF01088	Ubiquitin carboxyl-terminal hydrolase, family 1
PF01136	Peptidase family U32
PF01244	Membrane dipeptidase (Peptidase family M19)
PF01252	Signal peptidase (SPase) II
PF01278	Omptin family
PF01343	Peptidase family S49
PF01364	Peptidase family C25
PF01398	JAB1/Mov34/MPN/PAD-1 ubiquitin protease
PF01400	Astacin (Peptidase family M12A)
PF01401	Angiotensin-converting enzyme
PF01421	Reprolysin (M12B) family zinc metalloprotease
PF01427	D-ala-D-ala dipeptidase
PF01431	Peptidase family M13
PF01432	Peptidase family M3
PF01433	Peptidase family M1
PF01434	Peptidase family M41
PF01435	Peptidase family M48
PF01447	Thermolysin metallopeptidase, catalytic domain
PF01470	Pyroglutamyl peptidase
PF01478	Type IV leader peptidase family
PF01546	Peptidase family M20/M25/M40
PF01551	Peptidase family M23
PF01577	Potyvirus P1 protease
PF01640	Peptidase C10 family
PF01650	Peptidase C13 family
PF01694	Rhomboid family
PF01707	Peptidase family C9
PF01732	Putative peptidase (DUF31)
PF01742	Clostridial neurotoxin zinc protease
PF01750	Hydrogenase maturation protease
PF01752	Collagenase
PF01768	Birnavirus VP4 protein
PF01828	Peptidase A4 family
PF01829	Peptidase A6 family
PF01830	Peptidase C7 family
PF01831	Peptidase C16 family
PF01841	Transglutaminase-like superfamily
PF01863	Protein of unknown function DUF45
PF01965	DJ-1/PfpI family
PF01972	Serine dehydrogenase proteinase
PF02016	LD-carboxypeptidase
PF02031	Streptomyces extracellular neutral proteinase (M7) family
PF02073	Thermophilic metalloprotease (M29)
PF02074	Carboxypeptidase Taq (M32) metallopeptidase
PF02102	Deuterolysin metalloprotease (M35) family
PF02113	D-Ala-D-Ala carboxypeptidase 3 (S13) family
PF02122	Peptidase S39
PF02127	Aminopeptidase I zinc metalloprotease (M18)
PF02128	Fungalysin metallopeptidase (M36)
PF02129	X-Pro dipeptidyl-peptidase (S15 family)
PF02160	Cauliflower mosaic virus peptidase (A3)
PF02163	Peptidase family M50
PF02190	ATP-dependent protease La (LON) substrate-binding domain
PF02225	PA domain
PF02244	Carboxypeptidase activation peptide
PF02338	OTU-like cysteine protease
PF02395	Immunoglobulin A1 protease
PF02517	CAAX protease self-immunity
PF02557	D-alanyl-D-alanine carboxypeptidase
PF02586	SOS response associated peptidase (SRAP)
PF02617	ATP-dependent Clp protease adaptor protein ClpS
PF02789	Cytosol aminopeptidase family, N-terminal domain
PF02868	Thermolysin metallopeptidase, alpha-helical domain
PF02897	Prolyl oligopeptidase, N-terminal beta-propeller domain
PF02902	Ulp1 protease family, C-terminal catalytic domain
PF02907	Hepatitis C virus NS3 protease
PF02983	Alpha-lytic protease prodomain
PF03051	Peptidase C1-like family
PF03290	Vaccinia virus I7 processing peptidase
PF03410	Metallopeptidase from vaccinia pox
PF03411	Penicillin-insensitive murein endopeptidase
PF03412	Peptidase C39 family
PF03413	Peptidase propeptide and YPEB domain
